"Sr.","Stock Name","Symbol","Links","% Chg","Price","Volume"
"22","Newgen Software Technologies Ltd","NEWGEN","P&F | F.A","0.8%","1234.2","3,79,333"
"8","Siemens Limited","SIEMENS","P&F | F.A","0.52%","3297.5","3,33,166"
"1","Bosch Limited","BOSCHLTD","P&F | F.A","0.45%","31595","29,686"
"6","Alkem Laboratories Limited","ALKEM","P&F | F.A","0.39%","4862.5","1,81,782"
"33","Chalet Hotels Ltd","CHALET","P&F | F.A","0.36%","920.85","1,82,922"
"41","Sonata Software Limited","SONATSOFTW","P&F | F.A","0.17%","410.15","6,65,390"
"23","Olectra Greentech Ltd","OLECTRA","P&F | F.A","0.16%","1221.9","2,31,558"
"51","Bank Of India","BANKINDIA","P&F | F.A","0.1%","124.38","1,20,62,024"
"13","Asian Paints Limited","ASIANPAINT","P&F | F.A","0.08%","2245.2","8,22,087"
"42","Latent View Analytics Ltd","LATENTVIEW","P&F | F.A","0.05%","409.4","1,31,045"
"43","Eih Limited","EIHOTEL","P&F | F.A","0.01%","374.6","3,84,642"
"31","Finolex Cables Limited","FINCABLES","P&F | F.A","-0.01%","969.4","2,00,857"
"29","Amara Raja Energy & Mobility Ltd","ARE&M","P&F | F.A","-0.02%","1000.1","4,24,767"
"26","Kajaria Ceramics Limited","KAJARIACER","P&F | F.A","-0.04%","1012.4","1,19,386"
"16","Bombay Burmah Trading Corporation Limited","BBTC","P&F | F.A","-0.05%","1980.5","40,525"
"47","Usha Martin Limited","USHAMART","P&F | F.A","-0.08%","306.15","3,27,805"
"53","Suzlon Energy Limited","SUZLON","P&F | F.A","-0.09%","66.71","7,59,50,376"
"35","Raymond Limited","RAYMOND","P&F | F.A","-0.1%","617.15","1,62,657"
"9","Pidilite Industries Limited","PIDILITIND","P&F | F.A","-0.11%","3049.8","1,58,038"
"44","Firstsource Solutions Limited","FSL","P&F | F.A","-0.11%","373.6","7,28,562"
"45","Biocon Limited","BIOCON","P&F | F.A","-0.17%","330.05","12,50,474"
"28","Sundram Fasteners Limited","SUNDRMFAST","P&F | F.A","-0.18%","1002","75,499"
"14","Poly Medicure Limited","POLYMED","P&F | F.A","-0.19%","2232.9","2,27,146"
"25","Jubilant Pharmova Ltd","JUBLPHARMA","P&F | F.A","-0.2%","1140","1,16,793"
"3","Godfrey Phillips India Limited","GODFRYPHLP","P&F | F.A","-0.35%","8189.5","53,137"
"21","Emcure Pharmaceuticals Ltd","EMCURE","P&F | F.A","-0.38%","1327.4","79,144"
"24","Godrej Consumer Products Limited","GODREJCP","P&F | F.A","-0.4%","1210.1","8,78,031"
"57","Trident Limited","TRIDENT","P&F | F.A","-0.48%","30.88","65,33,657"
"30","Eid Parry India Limited","EIDPARRY","P&F | F.A","-0.51%","969.45","1,69,339"
"27","Alivus Life Sciences Ltd","ALIVUS","P&F | F.A","-0.53%","1006.1","50,180"
"48","Adani Wilmar Ltd","AWL","P&F | F.A","-0.53%","263.85","12,96,719"
"40","Vardhman Textiles Limited","VTL","P&F | F.A","-0.54%","485.4","62,417"
"32","Carborundum Universal Limited","CARBORUNIV","P&F | F.A","-0.57%","949.5","1,31,151"
"49","Godawari Power And Ispat Limited","GPIL","P&F | F.A","-0.63%","187.93","17,56,051"
"34","Marico Limited","MARICO","P&F | F.A","-0.64%","698.65","11,05,116"
"46","Iti Limited","ITI","P&F | F.A","-0.64%","325.3","5,63,458"
"7","Mazagon Dock Shipbuilders Ltd","MAZDOCK","P&F | F.A","-0.74%","3404.7","30,49,803"
"36","Sun Tv Network Limited","SUNTV","P&F | F.A","-0.78%","614.85","1,63,218"
"37","Happiest Minds Technologies Ltd","HAPPSTMNDS","P&F | F.A","-0.83%","588.9","2,02,583"
"10","Waaree Energies Ltd","WAAREEENER","P&F | F.A","-0.84%","2828.3","10,45,219"
"11","Colgate Palmolive (india) Limited","COLPAL","P&F | F.A","-0.84%","2432.5","3,85,685"
"12","Doms Industries Ltd","DOMS","P&F | F.A","-0.84%","2419","63,997"
"50","Zee Entertainment Enterprises Limited","ZEEL","P&F | F.A","-0.9%","126.59","53,54,896"
"2","3m India Limited","3MINDIA","P&F | F.A","-0.91%","29360","2,253"
"55","Network18 Media & Investments Limited","NETWORK18","P&F | F.A","-1.01%","54.14","25,91,635"
"20","Ipca Laboratories Limited","IPCALAB","P&F | F.A","-1.09%","1370.9","5,94,779"
"4","Bayer Cropscience Limited","BAYERCROP","P&F | F.A","-1.38%","5498","17,366"
"15","Caplin Point Laboratories Limited","CAPLIPOINT","P&F | F.A","-1.39%","2093.3","64,316"
"54","Bank Of Maharashtra","MAHABANK","P&F | F.A","-1.56%","55.04","2,99,51,358"
"52","Tata Teleservices (maharashtra) Limited","TTML","P&F | F.A","-1.67%","71.12","35,50,113"
"19","Metropolis Healthcare Ltd","METROPOLIS","P&F | F.A","-1.7%","1652.2","78,720"
"17","Deepak Nitrite Limited","DEEPAKNTR","P&F | F.A","-2.02%","1940.6","5,06,995"
"39","Chambal Fertilizers & Chemicals Limited","CHAMBLFERT","P&F | F.A","-2.27%","540.05","26,14,146"
"38","Indegene Ltd","INDGN","P&F | F.A","-2.37%","581.6","17,71,364"
"5","Basf India Limited","BASF","P&F | F.A","-2.38%","4994","37,153"
"56","Uco Bank","UCOBANK","P&F | F.A","-2.8%","32.94","4,08,83,060"
"18","Bharti Hexacom Ltd","BHARTIHEXA","P&F | F.A","-3.16%","1819.2","7,56,373"